mfd_date,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y
20130701,4.4560,5.4230,6.0400,6.8800,5.2950,4.2390,4.2820,4.4125
20130702,3.7860,4.7500,5.0740,5.8000,5.2110,4.2344,4.2808,4.4070
20130703,3.4000,4.2420,4.6580,5.2000,5.1480,4.2300,4.2796,4.4022
20130704,3.3480,3.9380,4.4640,5.1020,5.0290,4.2287,4.2776,4.4000
20130705,3.3800,3.8160,4.2950,4.7885,4.9390,4.2273,4.2749,4.4000
20130708,3.2560,3.6560,3.6860,4.3000,4.7940,4.2238,4.2741,4.4000
20130709,3.2490,3.5960,3.6040,4.2980,4.7230,4.2215,4.2720,4.4000
20130710,3.2510,3.5900,3.8500,4.2690,4.7040,4.2200,4.2707,4.4000
20130711,3.3547,3.8100,3.9060,4.3510,4.6955,4.2199,4.2705,4.4000
20130712,3.3000,3.8000,3.9280,4.1280,4.6910,4.2189,4.2704,4.4000
20130715,3.2998,3.8090,3.9400,4.2705,4.6785,4.2185,4.2701,4.4000
20130716,3.0130,3.7060,4.0000,4.4240,4.6703,4.2176,4.2700,4.4000
20130717,2.9680,3.5960,3.9920,4.5300,4.6620,4.2166,4.2700,4.4000
20130718,2.9980,3.6340,3.9960,4.6100,4.6578,4.2173,4.2700,4.4000
20130719,3.0400,3.7450,4.0570,4.6690,4.6525,4.2173,4.2700,4.4000
20130722,3.1035,3.9250,4.0990,4.8060,4.6515,4.2173,4.2700,4.4000
20130723,3.1355,3.9590,4.1100,4.9900,4.6517,4.2173,4.2700,4.4000
20130724,3.2300,4.0110,4.1310,5.2930,4.6610,4.2189,4.2700,4.4000
20130725,3.3495,4.1320,4.2580,5.4680,4.6601,4.2185,4.2700,4.4000
20130726,3.5500,4.3510,4.6200,5.7220,4.6670,4.2189,4.2700,4.4000
20130729,3.7030,5.0570,5.5000,5.9880,4.6710,4.2201,4.2700,4.4000
20130730,3.6410,4.9720,5.3400,5.8890,4.6670,4.2203,4.2700,4.4000
20130731,3.6990,4.9710,5.4530,5.3400,4.6645,4.2199,4.2700,4.4000
20130801,3.5490,4.5450,5.3600,4.8460,4.6635,4.2193,4.2700,4.4000
20130802,3.2539,4.3140,4.5500,4.6420,4.6595,4.2198,4.2700,4.4000
20130805,3.1000,4.3560,4.3100,4.5750,4.6550,4.2198,4.2700,4.4000
20130806,3.1000,4.0660,4.5490,4.6005,4.6538,4.2193,4.2700,4.4000
20130807,3.1005,3.8730,4.3610,4.5800,4.6515,4.2197,4.2700,4.4000
20130808,3.1641,3.7585,4.4200,4.5950,4.6504,4.2198,4.2700,4.4000
20130809,2.9140,3.6400,4.3000,4.5350,4.6501,4.2198,4.2700,4.4000
20130812,2.9645,3.6480,4.1680,4.5000,4.6500,4.2200,4.2700,4.4000
20130813,3.2253,3.7020,4.1600,4.5240,4.6500,4.2198,4.2700,4.4000
20130814,3.4350,3.8550,4.1600,4.5050,4.6500,4.2198,4.2700,4.4000
20130815,3.2830,3.9940,4.1190,4.5170,4.6502,4.2198,4.2700,4.4000
20130816,3.2090,3.7720,3.8230,4.5600,4.6503,4.2198,4.2700,4.4000
20130819,3.4030,4.0920,5.1560,4.9250,4.6573,4.2198,4.2700,4.4000
20130820,3.8540,4.4280,5.4670,5.2180,4.6636,4.2198,4.2701,4.4000
20130821,3.5170,4.2190,5.4000,5.0400,4.6580,4.2198,4.2700,4.4000
20130822,3.3570,4.1150,5.0460,4.9680,4.6620,4.2198,4.2700,4.4000
20130823,3.2650,4.1490,5.1710,5.0160,4.6620,4.2198,4.2700,4.4000
20130826,3.0370,4.0230,5.1960,5.0070,4.6619,4.2198,4.2701,4.4000
20130827,3.0060,4.2090,5.3820,4.9740,4.6609,4.2198,4.2701,4.4000
20130828,3.0980,4.2590,5.0150,4.9290,4.6586,4.2198,4.2701,4.4000
20130829,2.9570,4.3180,4.4000,4.9030,4.6580,4.2198,4.2701,4.4000
20130830,3.0340,3.7355,4.3110,4.8050,4.6572,4.2198,4.2701,4.4000
20130902,3.0188,3.7420,4.1500,4.6000,4.6561,4.2198,4.2701,4.4000
20130903,3.0006,3.7500,3.7630,4.5230,4.6558,4.2198,4.2701,4.4000
20130904,3.0050,3.4980,3.7470,4.5810,4.6566,4.2198,4.2701,4.4000
20130905,2.8900,3.4560,3.7050,4.5740,4.6566,4.2200,4.2703,4.4000
20130906,2.9500,3.4690,3.7160,4.4840,4.6573,4.2198,4.2700,4.4000
20130909,2.9200,3.5540,3.7140,4.5980,4.6564,4.2198,4.2700,4.4000
20130910,2.8955,3.6250,3.7460,4.8620,4.6549,4.2198,4.2700,4.4000
20130911,3.0140,3.4820,3.7670,5.1380,4.6559,4.2198,4.2700,4.4000
20130912,2.9670,3.4940,3.8000,5.3740,4.6563,4.2198,4.2700,4.4000
20130913,2.9790,3.5700,3.8520,5.4834,4.6571,4.2200,4.2700,4.4000
20130916,3.0080,3.4690,3.5920,5.6700,4.6569,4.2200,4.2700,4.4000
20130917,3.4930,3.5830,3.6400,5.8360,4.6579,4.2200,4.2700,4.4000
20130918,3.5570,3.7490,3.9325,5.9130,4.6584,4.2200,4.2700,4.4000
20130922,3.5730,3.9910,4.0070,5.9480,4.6617,4.2200,4.2700,4.4000
20130923,3.8150,4.2320,4.3500,6.0040,4.6717,4.2200,4.2700,4.4000
20130924,3.6144,4.4400,4.8033,6.1089,4.6731,4.2200,4.2700,4.4000
20130925,3.3470,3.9160,5.1825,5.8560,4.6715,4.2200,4.2700,4.4000
20130926,3.1120,4.0550,5.5710,5.4350,4.6732,4.2200,4.2700,4.4000
20130927,3.1477,3.6460,5.6528,5.3300,4.6722,4.2200,4.2700,4.4000
20130929,3.1500,3.7490,5.7780,5.3000,4.6732,4.2200,4.2700,4.4000
20130930,3.1260,4.2030,4.7740,5.3000,4.6704,4.2200,4.2700,4.4000
20131008,3.0520,4.3930,4.7800,5.1780,4.6685,4.2200,4.2700,4.4000
20131009,3.2320,4.5020,4.8160,5.2130,4.6682,4.2200,4.2700,4.4000
20131010,3.3280,4.4800,4.9390,5.1000,4.6681,4.2200,4.2700,4.4000
20131011,3.1000,4.2600,4.8470,5.0000,4.6679,4.2200,4.2700,4.4000
20131012,3.0270,4.2460,4.7980,4.8050,4.6673,4.2200,4.2700,4.4000
20131014,3.1130,3.8550,4.6500,4.8500,4.6661,4.2200,4.2700,4.4000
20131015,3.1170,3.8450,3.8830,4.7130,4.6655,4.2200,4.2700,4.4000
20131016,3.0550,3.3140,3.3570,4.8570,4.6654,4.2200,4.2700,4.4000
20131017,3.0380,3.3500,3.3910,4.7300,4.6681,4.2200,4.2700,4.4000
20131018,3.0010,3.4850,3.5730,4.6130,4.6695,4.2200,4.2700,4.4000
20131021,3.0600,3.5480,3.6700,4.6830,4.6775,4.2200,4.2700,4.4000
20131022,3.0520,3.5580,3.6000,4.7070,4.6813,4.2200,4.2700,4.4000
20131023,3.7800,3.9920,3.8710,4.8140,4.6843,4.2200,4.2700,4.4000
