mfd_date,mfd_daily_yield,mfd_7daily_yield
20130701,1.5787,6.307
20130702,1.5461,6.174
20130703,1.467,6.034
20130704,1.4223,5.903
20130705,1.3845,5.739
20130706,1.3674,5.582
20130707,1.3671,5.425
20130708,1.3129,5.279
20130709,1.3096,5.15
20130710,1.2792,5.047
20130711,1.2616,4.959
20130712,1.2487,4.884
20130713,1.2396,4.815
20130714,1.2394,4.745
20130715,1.1985,4.682
20130716,1.2214,4.634
20130717,1.1829,4.582
20130718,1.1896,4.543
20130719,1.2032,4.518
20130720,1.1964,4.494
20130721,1.1962,4.471
20130722,1.1547,4.447
20130723,1.1826,4.426
20130724,1.1805,4.424
20130725,1.1645,4.411
20130726,1.1777,4.397
20130727,1.1728,4.384
20130728,1.1726,4.371
20130729,1.1515,4.369
20130730,1.1958,4.377
20130731,1.2088,4.392
20130801,1.2026,4.413
20130802,1.222,4.437
20130803,1.2154,4.46
20130804,1.2152,4.483
20130805,1.1875,4.503
20130806,1.204,4.507
20130807,1.2118,4.509
20130808,1.2155,4.516
20130809,1.2174,4.513
20130810,1.2128,4.512
20130811,1.2126,4.511
20130812,1.1886,4.511
20130813,1.2143,4.517
20130814,1.2201,4.521
20130815,1.2184,4.523
20130816,1.219,4.524
20130817,1.215,4.525
20130818,1.2148,4.526
20130819,1.1987,4.532
20130820,1.2288,4.54
20130821,1.2307,4.545
20130822,1.2187,4.546
20130823,1.2236,4.548
20130824,1.2204,4.551
20130825,1.2202,4.554
20130826,1.185,4.546
20130827,1.2131,4.538
20130828,1.213,4.528
20130829,1.3194,4.583
20130830,1.4113,4.686
20130831,1.2201,4.685
20130901,1.2199,4.685
20130902,1.4475,4.829
20130903,1.2339,4.84
20130904,1.2349,4.852
20130905,1.2374,4.807
20130906,1.5058,4.859
20130907,1.2415,4.87
20130908,1.2381,4.88
20130909,1.44,4.876
20130910,1.4214,4.979
20130911,1.2527,4.989
20130912,1.2598,5.001
20130913,1.3805,4.932
20130914,1.2613,4.943
20130915,1.2611,4.956
20130916,1.4143,4.942
20130917,1.2495,4.848
20130918,1.3366,4.894
20130919,1.2594,4.893
20130920,1.2592,4.827
20130921,1.2569,4.825
20130922,1.2567,4.822
20130923,1.2346,4.724
20130924,1.3281,4.767
20130925,1.3895,4.796
20130926,1.4449,4.897
